Catz-Nintendo Game Boy Color GBC Juego-EUR PAL-probado/trabajo Batería Nueva;4,63 EUR;+ 18,67 EUR de envío estimado;desde Reino Unido;
Catz (Game Boy Color) versión USA;2,33 EUR;+ 8,19 EUR de envío;desde Reino Unido;
lot de deux jeu Game Boy Color - PAL  ( Spider man 2   + Catz )  ;15,00 EUR;+ 5,90 EUR de envío;desde Francia;
Catz-Nintendo Gameboy Color;9,35 EUR;+ 13,47 EUR de envío;desde Reino Unido;
GBC-Catz para Gameboy Color;6,95 EUR;+ 9,95 EUR de envío;desde Alemania;
Mad Catz Game Boy Advance Game Boy Color cable de transferencia;8,50 EUR;+ 12,82 EUR de envío;desde Hungría;
Catz-Nintendo Gameboy Color GBC Solo Manual;5,84 EUR;+ 16,55 EUR de envío estimado;desde Reino Unido;
GameBoy Color AC Adaptador + nos fuente de alimentación atómica púrpura Mad Catz] [Enchufe EE. UU.;17,56 EUR;Envío internacional gratis;desde Alemania;
GameBoy Color AC Adaptador + nos fuente de alimentación #Atomic Púrpura (Enchufe EE. UU.) [Mad Catz];23,07 EUR;Envío internacional gratis;desde Alemania;
GameBoy Color Ac Adapter + US power supply #Atomic Purple (US plug) [Mad Catz];25,02 EUR;+ 54,09 EUR de envío;desde Alemania;
Catz-Nintendo Game Boy Color GBC PAL -;9,36 EUR;+ 7,03 EUR de envío;desde Reino Unido;
Nuevo anuncioNintendo Game Boy Mad Catz | gameboy color luz lupa;15,99 EUR;Envío no especificado;desde Alemania;
Nuevo en el paquete-Mad Catz Batería Puck (Game Boy Game Boy bolsillo Neogeo bolsillo) WE3;17,57 EUR;Envío no especificado;desde Reino Unido;
Nuevo anuncioNintendo Game Boy Color-Kiwi Verde Lima Paquete con Mad Catz Bolsa, 6 Juegos De Trabajo;81,15 EUR;+ 8,50 EUR de envío;desde Estados Unidos;
Nintendo Game Boy Color Atomic púrpura de no lee con Mad Catz Kit De Accesorios;59,82 EUR;+ 7,31 EUR de envío;desde Estados Unidos;
Catz Nintendo Game Boy Color Juego probado + +! Funcionando!;7,56 EUR;Envío gratis;desde Estados Unidos;
Catz (Nintendo Game Boy Color, 1999) Completo! probado funciona!! envío Gratuito!;15,38 EUR;Envío gratis;desde Estados Unidos;
Catz (Nintendo Game Boy Color) Auténtico Cartucho * Probado * Envío Rápido;7,67 EUR;Envío gratis;desde Estados Unidos;
Game Boy Color Catz Probado;6,83 EUR;Envío gratis;desde Estados Unidos;
Nintendo Game Boy Color Catz juego clasificado E abrir la caja en muy buena condición Con Folleto;25,63 EUR;+ 6,58 EUR de envío;desde Estados Unidos;
Catz (Nintendo Game Boy Color GBC, 1999) Completo en Caja Cartucho Caja Manual del juego probadas;25,64 EUR;+ 4,27 EUR de envío;desde Estados Unidos;
