Nintendo Game Boy Color jpn Japón "Pokémon Trading Card Game" solo módulo;7,95 EUR;+ 5,99 EUR de envío;Vendidos  5 sep 2021Artículo vendido;desde Alemania;
Pokémon Trading Card Game, GameBoy Color con el embalaje original y guía;45,00 EUR;Envío no especificado;Vendidos  29 ago 2021Artículo vendido;desde Alemania;
El Pokémon Trading Card Game (Nintendo Game Boy Color juego, 2000) t.c.g Pikachu;4,35 EUR;+ 3,99 EUR de envío;Vendidos  27 ago 2021Artículo vendido;desde Alemania;
El Pokémon Trading Card Game Gameboy módulo Game Boy Color GBC;13,90 EUR;Envío no especificado;Vendidos  25 ago 2021Artículo vendido;desde Alemania;
Pokémon Trading Card Game, Game Boy Color, CIB embalaje, guía Meowth mapa;66,55 EUR;Envío no especificado;Vendidos  22 ago 2021Artículo vendido;desde Alemania;
Pokémon Trading Card Game Gameboy Color Caja Original + Manual sin marcar (17);53,70 EUR;+ 31,55 EUR de envío estimado;Vendidos  14 ago 2021Artículo vendido;desde Reino Unido;
Pokémon Trading Card Game (Nintendo Game Boy Color, 2000);8,90 EUR;Envío no especificado;Vendidos  26 jul 2021Artículo vendido;desde Francia;
Gameboy Color GBC-el Pokémon Trading Card Game (German version);10,50 EUR;+ 8,89 EUR de envío;Vendidos  24 jul 2021Artículo vendido;desde Alemania;
Pokémon Trading Card Game-Nintendo Game Boy Color juego de Gameboy el Pokémon;14,99 EUR;Envío no especificado;Vendidos  19 jul 2021Artículo vendido;desde Alemania;
GBC-el Pokémon Trading Card Game para Nintendo Gameboy Color;14,95 EUR;+ 6,50 EUR de envío;Vendidos  14 jul 2021Artículo vendido;desde Alemania;
