Nintendo Gameboy (gb)/Final Fantasy Legend III (3) + embalaje original + instrucciones // us cib;199,99 EUR;+ 5,99 EUR de envío;Vendidos  12 sep 2021Artículo vendido;desde Alemania;
Final Fantasy Legend Nintendo Gameboy NTSC USA Cartridge Instructions Only Rare;39,95 EUR;+ 9,95 EUR de envío;Vendidos  11 ago 2021Artículo vendido;desde España;
The Final Fantasy Legend con embalaje original para Nintendo Game Boy;69,00 EUR;Envío no especificado;Vendidos  26 jul 2021Artículo vendido;desde Alemania;
Final Fantasy Legend II Map Game Boy. Mint!;9,95 EUR;Envío no especificado;Vendidos  26 jul 2021Artículo vendido;desde España;
Lot SA.GA Final Fantasy Legend 1 2 3 - GAME BOY GB - Square Japan Nintendo;17,50 EUR;+ 9,90 EUR de envío;Vendidos  4 jul 2021Artículo vendido;desde Francia;
Final Fantasy Legend Gameboy;13,17 EUR;+ 4,68 EUR de envío;Vendidos  17 sep 2021Artículo vendido;desde Estados Unidos;
Final Fantasy Legend-Gameboy-Carro/Manual;28,89 EUR;Envío gratis;Vendidos  17 sep 2021Artículo vendido;desde Estados Unidos;
Lot of 5 gameboy games: Final Fantasy Legend • Kirby's Dreamland 2 • Donkey Kong;35,49 EUR;+ 13,81 EUR de envío;Vendidos  16 sep 2021Artículo vendido;desde Canadá;
Final Fantasy Legend III 3 (Nintendo Game Boy, 1993);21,42 EUR;+ 1,33 EUR de envío;Vendidos  15 sep 2021Artículo vendido;desde Canadá;
Final Fantasy Legend-Cartucho únicamente-probado Auténtico-Juego Boy;25,49 EUR;Envío gratis;Vendidos  15 sep 2021Artículo vendido;desde Estados Unidos;
Final Fantasy Legend-Cartucho únicamente-probado Auténtico-Juego Boy Con Estuche;22,95 EUR;+ 3,78 EUR de envío;Vendidos  14 sep 2021Artículo vendido;desde Estados Unidos;
Final Fantasy Legend-Cartucho únicamente probado Juego Boy-cartel Manual Incluido;51,00 EUR;+ 4,34 EUR de envío;Vendidos  12 sep 2021Artículo vendido;desde Estados Unidos;
Final Fantasy Legend 1 (Nintendo Game Boy, 1989) Tested Authentic;27,45 EUR;+ 13,39 EUR de envío;Vendidos  9 sep 2021Artículo vendido;desde Canadá;
Muy Bueno + + saga 1 Final Fantasy Legend Makai Toushi GameBoy GB Japón Importación;36,98 EUR;+ 17,00 EUR de envío;Vendidos  5 sep 2021Artículo vendido;desde Japón;
