Kid Dracula Nintendo Game Boy Color;9,00 EUR;+2,00 EUR shipping;from Spain;
Nintendo Gameboy (GB) // Kid Dracula + OP + Manual // DT. PAL CIB;399,99 EUR;+5,99 EUR shipping;from Germany;
Kid Dracula - version française FAH PAL Game Boy Castlevania;999,00 EUR;Shipping not specified;from France;
Kid Dracula Gig italian version GAME BOY art box ,NO GAME inside;24,90 EUR;Shipping not specified;from Italy;
Kid Dracula Nintendo Gameboy With Manual 1993 UK PAL Castlevania RARE;409,93 EUR;+38,12 EUR shipping estimate;from United Kingdom;
Kid Dracula USA - Gameboy - Very rare game!;119,00 EUR;+20,00 EUR shipping;from Netherlands;
Kid Dracula - Jeu Nintendo GameBoy - Cartouche Seule FAH [VERY RARE];249,90 EUR;+10,00 EUR shipping;from France;
GameBoy Kid Dracula - Reproduced Replacement Box;10,22 EUR;+5,96 EUR shipping;from Greece;
Kid Dracula / Game Boy gb boku kun castlevania konami gameboy japan;55,00 EUR;+3,10 EUR shipping;from Netherlands;
Rare Kid Dracula Japanese Genuine Nintendo Gameboy Game Cartridge DMG-DFJ #2;58,55 EUR;+17,50 EUR shipping estimate;from United Kingdom;
Rare Kid Dracula Japanese Genuine Nintendo Gameboy Game Cartridge DMG-DFJ #3;70,26 EUR;+17,72 EUR shipping estimate;from United Kingdom;
Game Boy GB:Kid Dracula [TOP KONAMI & 1ERE EDITION RARE] Jap;69,90 EUR;+30,30 EUR shipping;from France;
Notice Nintendo GB Game Boy Kid Dracula import FAH, Très Bon état;34,90 EUR;+11,98 EUR shipping;from France;
Nintendo Gameboy Kid Dracula GBC Repro Cart;11,70 EUR;+16,66 EUR shipping estimate;from United Kingdom;
Notice Nintendo GB Game Boy Kid Dracula import FAH, Excellent état;49,90 EUR;+11,98 EUR shipping;from France;
Nintendo Gameboy Classic Kid Dracula Game Manual Instruction Booklet NOE;149,90 EUR;+36,99 EUR shipping;from Germany;
