New ListingThe Legend of Zelda: Link's Awakening Game Boy Game Complete In Box DMG UK 1993;117,05 EUR;+36,87 EUR shipping estimate;from United Kingdom;
The Legend of Zelda: Link's Awakening (Nintendo Game Boy, 1993);1,16 EUR;+19,08 EUR shipping estimate;from United Kingdom;
The Legend of Zelda: Link's Awakening DX - Game Boy Color - GENUINE - CART ONLY;12,29 EUR;+33,51 EUR shipping estimate;from United Kingdom;
The Legend of Zelda: the Minish Cap [Nintendo Game Boy Advance] Inlay and case!;29,95 EUR;+14,00 EUR shipping;from Germany;
Lunar Legend GBA Game Boy Advance Authentic  CARTRIDGE ONLY;30,42 EUR;+16,98 EUR shipping estimate;from United Kingdom;
Lunar Legend Game Boy Advance - CIB;105,35 EUR;+25,20 EUR shipping estimate;from United Kingdom;
Nintendo Game Boy Classic Game The Legend of Zelda: Link's Awakening NOE;269,90 EUR;+36,99 EUR shipping;from Germany;
Nintendo Game Boy Advance The Legend of Zelda: the Minish Cap boxed + instructions EUR;239,90 EUR;+36,99 EUR shipping;from Germany;
The Legend of Zelda Link's Awakening Reproduction Box for Game Boy Nintendo ;5,47 EUR;+9,19 EUR shipping;from Poland;
Nintendo Game Boy Advance, Lara Croft: Tomb Raider Legend VGA Gold 85+ NM +;299,00 EUR;+55,00 EUR shipping;from Germany;
Nintendo Game Boy - The Legend of Zelda Link's Awakening-Boxed-PAL-Top;239,90 EUR;Shipping not specified;from Germany;
Final Fantasy Legends II 1998 (Nintendo Game Boy, 1998) complète;159,00 EUR;+26,00 EUR shipping;from France;
The Legend of Zelda Link's Awakening nintendo game boy gameboy battery OK 1993;44,40 EUR;Free International Shipping;from Spain;
Bruce Lee: Return of the Legend | Nintendo Game Boy Advance GBA | Boxed + Poster;31,59 EUR;+17,01 EUR shipping estimate;from United Kingdom;
cartucho original juego The Legend of Zelda Four Swords consola Game boy Advance;30,00 EUR;+9,00 EUR shipping;from Spain;
Momotarou Densetsu: Peach Boy Legend Famicom Game NTSC-J Japanese Import;4,68 EUR;+5,85 EUR shipping;from United Kingdom;
New ListingGame Boy Advance Lara Croft Tomb Raider Legend Complete In Box;11,00 EUR25,00 EUR;Free International Shipping;from Belgium;
NINTENDO GAME BOY Dragon's Lair The Legend DMG-DL-FAH spel cartridge Juego Spiel;3,99 EUR;+6,81 EUR shipping;from Netherlands;
Nintendo Game Boy Color Game The Legend of Zelda: Oracle of Ages Module EUR;49,90 EUR;+8,99 EUR shipping;from Germany;
Castelvania Legends Game Boy;8,00 EUR;+14,00 EUR shipping;from Spain;
Boite Game Boy / Box : The Final Fantasy Legend [USA];14,90 EUR;+10,90 EUR shipping;from France;
The Legend of Zelda Oracle of Ages for Nintendo Game Boy Colour PAL Cart Only;70,23 EUR;+22,43 EUR shipping estimate;from United Kingdom;
New ListingJeu Nintendo Game boy The Legend of Zelda Link's Awakening Dmg zl USA complet;369,90 EUR;+25,00 EUR shipping;from France;
# Legend of Zelda-Minish Cap BNIB for Nintendo Game Boy Advance/GBA #;219,95 EUR;+8,00 EUR shipping;from Germany;
The Legend Of Zelda: Oracle Of Seasons Nintendo Game Boy Color;230,00 EUR;+2,00 EUR shipping;from Italy;
Final Fantasy Legend USA - Game Boy;100,00 EUR;+25,00 EUR shipping;from France;
Game Boy Zelda The Legend of LINK'S AWAKENING DMG-ZL-NOE-Original Box & Manual CIB;159,95 EUR;Shipping not specified;from Germany;
The Legend of Zelda-Links Awakening (Game Boy Color, Gameboy) Module Game;25,99 EUR;Shipping not specified;from Germany;
The Legend of Zelda: Link's Awakening DX Game Boy - Game Boy Color - Retro;44,99 EUR;Shipping not specified;from Spain;
The Legend of Zelda Link's Awakening  Nintendo Game Boy Come nuovo Completo 100%;399,00 EUR;Shipping not specified;from Italy;
The Legend of Zelda: Oracle of Seasons Nintendo Game Boy Color Advance Officiel;4,50 EUR;Shipping not specified;from France;
Final Fantasy Legend (Game Boy/Gameboy);139,99 EUR;Shipping not specified;from Germany;
The Legend of Zelda: Link's Awakening DX Game Boy - Game Boy Color;44,99 EUR;Shipping not specified;from Spain;
Legend of the River King 2-Game Boy-Original Nintendo Gameboy Top Condition;139,99 EUR;Shipping not specified;from Germany;
Legend of Zelda A Link To The Past Four Swords Game Boy Advance complet scellé;650,00 EUR;Shipping not specified;from France;
Game Boy Spiel Zelda Links Awakening DX The Legend of Repro;15,90 EUR;Shipping not specified;from Austria;
The Legend of Zelda Link's Awakening Game Boy PAL;13,50 EUR;Shipping not specified;from Spain;
Jeu The Legend of Zelda The Minish Cap Nintendo Game Boy Advance;22,99 EUR;Shipping not specified;from France;
Nintendo Game Boy Advance - GBA The Legend Of Zelda A Link To The Past PAL;89,95 EUR;+32,30 EUR shipping;from Netherlands;
The Legend of Zelda: Link's Awakening (Nintendo Game Boy, 1993) NEW BATTERY!;23,40 EUR;+20,01 EUR shipping estimate;from United Kingdom;
Nintendo Game Boy Advance SP Game F-Zero GP Legend with Original Box and Instructions EUR;59,90 EUR;+8,99 EUR shipping;from Germany;
Game Boy The Legend of Zelda Links Awakening Rarity Collector GB without packaging;49,00 EUR;Shipping not specified;from Germany;
The Final Fantasy Legend Nintendo Game Boy Original Boxed PAL;175,57 EUR;+33,84 EUR shipping estimate;from United Kingdom;
GAME BOY GB NINTENDO SAGA 3 Jikuu no Hasha Final Fantasy Legend 3 JAPAN Completo;22,90 EUR;+19,90 EUR shipping;from Spain;
