Game Boy Pokemon Yellow versión Wata 9.0 a + sealed First print 1999 VGA Nintendo;13.999,95 EUR;+ 30,00 EUR de envío;desde Alemania;
Game Boy Pokemon Yellow duro caso Blister primera versión 1999-VGA 90+/parte 9.8;81.876,33 EUR;Envío internacional gratis;desde Alemania;
Clasificado UKG Pokemon Yellow Nintendo Game Boy Sello Rojo Sellado;23.317,70 EUR;+ 17,49 EUR de envío;desde Reino Unido;
Alemán Pokemon Yellow Gelbe Edición Nintendo Gameboy Game Boy GB CON CAJA RARO;106,60 EUR;+ 12,78 EUR de envío;desde Portugal;
Pokemon Yellow Bootleg/Hack Juego "Pocket Monster" juego Boy Advance;17,06 EUR;+ 7,68 EUR de envío;desde Portugal;
Game Boy Pokemon Yellow Etiqueta de reemplazo;4,65 EUR;+ 1,75 EUR de envío;desde Reino Unido;
Game Boy Advance SP Cubierta Protectora Pikachu Pokemon Yellow Kit caso Nintendo;16,31 EUR;+ 7,00 EUR de envío;desde Reino Unido;
Pokemon Yellow - GIALLO - Special Pikachu Edition - Nintendo Game Boy Color;44,90 EUR;+ 5,00 EUR de envío;desde Italia;
Pokemon Yellow Gameboy;44,30 EUR;+ 21,25 EUR de envío estimado;desde Reino Unido;
Nintendo Game Boy 'Pokemon Yellow versión' New/sealed VGA 70/First print;5.500,00 EUR;Envío no especificado;desde Alemania;
Oficial Pokemon Yellow Nintendo Game Boy Original * Región libre * Cartucho;29,14 EUR;+ 16,89 EUR de envío estimado;desde Reino Unido;
Pokemon Yellow Reproduction Replacement Box for Game Boy Nintendo;5,43 EUR;+ 9,12 EUR de envío;desde Polonia;
Pokemon Yellow reproducción caja de sustitución para Game Boy Nintendo Versión UK;6,53 EUR a 9,79 EUR;+ 10,73 EUR de envío;desde Polonia;
Pokemon Yellow Reproduction Replacement Box Game Boy AUS Version;6,50 EUR a 9,84 EUR;+ 9,90 EUR de envío;desde Polonia;
Pokemon Yellow Reproduction Replacement Box for Game Boy Nintendo + Inner Tray;8,69 EUR;+ 9,12 EUR de envío;desde Polonia;
