Tetris Attack Nintendo Game Boy Color Advance Game Cart Only Genuine Puzzler;21,01 EUR;+7,02 EUR shipping;Sold  Jul 13, 2021Sold Item;from United Kingdom;
Tetris Attack for Nintendo Gameboy - Boxed & Complete;23,41 EUR;+16,86 EUR shipping estimate;Sold  Sep 11, 2021Sold Item;from United Kingdom;
Yellow Nintendo Gameboy Pocket w/ Tetris Attack - Great Condition;41,65 EUR;+4,42 EUR shipping;Sold  Sep 7, 2021Sold Item;from United States;
Yoshi no Panepon Tetris Attack GB (Nintendo Game Boy, 1996) Gameboy Japan;8,49 EUR;Free shipping;Sold  Sep 5, 2021Sold Item;from United States;
Nintendo Gameboy Tetris Attack (Rare) with Case  *** SALE PRICE ***;5,09 EUR;+3,40 EUR shipping;Sold  Sep 3, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996);8,46 EUR;Free shipping;Sold  Sep 2, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996);5,78 EUR;+3,53 EUR shipping;Sold  Aug 29, 2021Sold Item;from United States;
Tetris Attack Nintendo Gameboy Box Manual NO GAME READ ALL COMPLETELY;13,59 EUR;Free shipping;Sold  Aug 26, 2021Sold Item;from United States;
Nintendo GameBoy Yoshi no Panepon / Tetris Attack Cartridge Japan;13,61 EUR;+6,19 EUR shipping;Sold  Aug 25, 2021Sold Item;from Australia;
Tetris Attack (Nintendo Game Boy, 1996) GB w/ Instruction Manual;10,19 EUR;+2,98 EUR shipping;Sold  Aug 25, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996, TESTED);5,94 EUR;+3,53 EUR shipping;Sold  Aug 23, 2021Sold Item;from United States;
Tetris & Tetris Attack  (Nintendo Gameboy GB) Cart Only Game Boy;21,25 EUR;Free shipping;Sold  Aug 20, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996, TESTED);5,09 EUR;+3,57 EUR shipping;Sold  Aug 19, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996) UNTESTED;2,64 EUR;+4,25 EUR shipping;Sold  Aug 19, 2021Sold Item;from United States;
Yoshi Panepon Tetris Attack Nintendo Gameboy GB Japan Import US Seller MC922;7,56 EUR;Free shipping;Sold  Aug 17, 2021Sold Item;from United States;
Nintendo Gameboy games Asteroids, Tetris, Tetris Attack KID FRIENDLY L@@K GB;16,63 EUR;+3,40 EUR shipping;Sold  Aug 16, 2021Sold Item;from United States;
Tetris Attack Nintendo Gameboy - Working W/Hardcover Case ;8,49 EUR;+3,27 EUR shipping;Sold  Aug 15, 2021Sold Item;from United States;
Tetris Attack+Plus+Donkey Kong Land 2+III+Star Wars+Dr.Mario (Nintendo GameBoy);484,51 EUR;+11,04 EUR shipping;Sold  Aug 14, 2021Sold Item;from United States;
Vintage 1996 Tetris Attack Super Nintendo Gameboy Promo Button Pin ;16,99 EUR;+2,54 EUR shipping;Sold  Aug 14, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996);6,79 EUR;+3,39 EUR shipping;Sold  Aug 14, 2021Sold Item;from United States;
Yoshi no Panepon Tetris Attack GB (Nintendo Game Boy, 1996) Gameboy Japan;8,49 EUR;Free shipping;Sold  Aug 12, 2021Sold Item;from United States;
Tetris Attack Nintendo Gameboy - Working;8,49 EUR;Free shipping;Sold  Aug 11, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996);6,80 EUR;+2,71 EUR shipping;Sold  Aug 11, 2021Sold Item;from United States;
Tetris Attack - Nintendo Game Boy Game - Free Postage;9,25 EUR;+22,83 EUR shipping;Sold  Aug 10, 2021Sold Item;from Australia;
Tetris & Tetris Attack  (Nintendo Gameboy GB) Cart Only Game Boy;21,25 EUR;Free shipping;Sold  Aug 6, 2021Sold Item;from United States;
Nintendo Game Boy Tetris Attack Authentic w/ Clear Case - Tested and Working;9,51 EUR;Free shipping;Sold  Aug 5, 2021Sold Item;from United States;
Gameboy Tetris DX and Tetris Attack! Game Lot - Both tested and plays Game Boy;10,63 EUR;+4,42 EUR shipping;Sold  Aug 4, 2021Sold Item;from United States;
Tetris & Tetris Attack  (Nintendo Gameboy GB) Cart Only Game Boy Game Lot;16,99 EUR;Free shipping;Sold  Aug 3, 2021Sold Item;from United States;
Tetris Attack | Nintendo | Gameboy | Box and Tray Only | No game ;12,75 EUR;Free shipping;Sold  Jul 31, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996) Tested Working  a;8,49 EUR;Free shipping;Sold  Jul 30, 2021Sold Item;from United States;
Tetris Attack (Nintendo Game Boy, 1996) Loose Authentic - Tested;9,37 EUR;+4,65 EUR shipping;Sold  Jul 25, 2021Sold Item;from Canada;
Nintendo Game Boy Pocket Red Vintage with Tetris Attack and Jeopardy Tested;38,25 EUR;+4,93 EUR shipping;Sold  Jul 23, 2021Sold Item;from United States;
Nintendo Game Boy Pocket Red Vintage with Tetris Attack and Jeopardy Tested;38,25 EUR;+4,93 EUR shipping;Sold  Jul 23, 2021Sold Item;from United States;
Nintendo Game Boy Tetris Attack  *cartridge only*  tested;8,50 EUR;Free shipping;Sold  Jul 20, 2021Sold Item;from United States;
Gameboy Tetris Super Mario Land Tetris Attack Test Drive 6 Game Lot;30,60 EUR;Free shipping;Sold  Jul 19, 2021Sold Item;from United States;
Tetris Attack (Game Boy, GB) - Game & Manual;10,33 EUR;Free shipping;Sold  Jul 15, 2021Sold Item;from United States;
